"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneid","regulation"
"1","ENSMUSG00000000001",59.9302367091861,0.101832742940184,0.260654736018486,0.390680578053884,0.696033356654148,0.999286210819731,"Gnai3","not"
"2","ENSMUSG00000000028",8.55958344576245,-0.796442782732045,0.643660424799783,-1.23736484650239,0.215951663421134,NA,"Cdc45","down"
"3","ENSMUSG00000000031",2959.36035179757,-0.152694152602218,0.162958674437084,-0.937011503865483,0.348752640491003,0.999286210819731,"H19","not"
"4","ENSMUSG00000000037",4.4230759970339,-0.147058538182654,0.867149839721961,-0.169588381899264,0.865333860094887,NA,"Scml2","not"
"5","ENSMUSG00000000056",82.1998872305181,0.0276950718532867,0.233150490173072,0.11878624759797,0.905444704363453,0.999286210819731,"Narf","not"
"6","ENSMUSG00000000058",70.5028135922183,0.221219371128435,0.270600248334412,0.817513555475562,0.413635005889771,0.999286210819731,"Cav2","up"
"7","ENSMUSG00000000078",87.0567280960199,0.571731240726888,0.229666744094469,2.48939498394124,0.0127960715646498,0.401577829549344,"Klf6","up"
"8","ENSMUSG00000000085",60.0730742949201,-0.281695891206557,0.261468556347046,-1.07736048702033,0.281319249334707,0.999286210819731,"Scmh1","down"
"9","ENSMUSG00000000088",516.402687458351,0.0356983159204785,0.143945624027273,0.247998618656965,0.804135475577352,0.999286210819731,"Cox5a","not"
"10","ENSMUSG00000000093",12.8430818277862,0.200011099597895,0.524183599104018,0.381566878360506,0.702782655859359,NA,"Tbx2","up"
"11","ENSMUSG00000000120",4.8499993614092,-1.08964892520318,0.881954792725607,-1.23549294611316,0.216647100098823,NA,"Ngfr","down"
"12","ENSMUSG00000000126",4.85027378139888,-1.53715940665825,0.863118975222764,-1.78093571197588,0.0749229537165436,NA,"Wnt9a","down"
"13","ENSMUSG00000000127",18.9803683116462,-0.174791467859268,0.436492978654329,-0.400445084817024,0.688828723074216,0.999286210819731,"Fer","not"
"14","ENSMUSG00000000131",59.6442896839901,0.503504510778205,0.311344678341822,1.61719324531191,0.105836573936496,0.999286210819731,"Xpo6","up"
"15","ENSMUSG00000000134",22.2577178977408,0.0068094748269946,0.402429596358401,0.0169209096165236,0.986499711692727,0.999286210819731,"Tfe3","not"
"16","ENSMUSG00000000142",3.42464227855103,0.300450108533657,0.986212310247575,0.30465053560144,0.760632326554726,NA,"Axin2","up"
"17","ENSMUSG00000000148",18.1201403366619,-0.00602737357764789,0.444364828529093,-0.0135640203514741,0.989177809429374,0.999286210819731,"Brat1","not"
"18","ENSMUSG00000000149",100.304013300847,-0.36085349036088,0.213404308149125,-1.69093817032372,0.0908486121466114,0.999286210819731,"Gna12","down"
"19","ENSMUSG00000000168",275.263183295261,-0.102957776459303,0.159268938831082,-0.6464397717153,0.517994590394849,0.999286210819731,"Dlat","not"
"20","ENSMUSG00000000171",427.505301486717,-0.0694632677759947,0.140763261830583,-0.493475832206829,0.621676412257843,0.999286210819731,"Sdhd","not"
"21","ENSMUSG00000000184",123.287307792209,-0.457577189244168,0.200521490941544,-2.2819359017112,0.0224931248453174,0.574623066757887,"Ccnd2","down"
"22","ENSMUSG00000000194",70.0665139364515,0.0961518196954388,0.24462548894118,0.393057240729965,0.694277204580522,0.999286210819731,"Gpr107","not"
"23","ENSMUSG00000000244",0.713622092880425,0.164082533597721,2.18817168269029,0.0749861333531133,0.940225744809673,NA,"Tspan32","not"
"24","ENSMUSG00000000253",136.133139492073,0.0529265423742293,0.193034898065413,0.2741812123334,0.783945365475703,0.999286210819731,"Gmpr","not"
"25","ENSMUSG00000000266",38.8189197721855,0.221418094774573,0.319685970453833,0.692611234894803,0.488553557831841,0.999286210819731,"Mid2","up"
"26","ENSMUSG00000000275",56.7972754578978,0.325621847742139,0.26803926695286,1.21482889967539,0.224431356007314,0.999286210819731,"Trim25","up"
"27","ENSMUSG00000000276",27.6840546088552,0.461961498823485,0.371101171422451,1.24483977523639,0.213190652143382,0.999286210819731,"Dgke","up"
"28","ENSMUSG00000000278",31.5279397028609,-1.07186595564701,0.35033741341123,-3.05952465998498,0.00221688536059041,0.116462511256835,"Scpep1","down"
"29","ENSMUSG00000000282",21.5459860458424,0.29730585260042,0.415587800892378,0.715386380355787,0.474370325920007,0.999286210819731,"Mnt","up"
"30","ENSMUSG00000000290",3.56778311309848,0.163983021413077,0.964524768975244,0.170014318644508,0.86499887593706,NA,"Itgb2","not"
"31","ENSMUSG00000000295",16.2657011943363,-0.0760272424551709,0.467311863783,-0.162690589191792,0.870762057005959,0.999286210819731,"Hddc2","not"
"32","ENSMUSG00000000296",6.27760303924759,0.0519768645615936,0.733098447875223,0.0709002518178027,0.943477142959996,NA,"Tpd52l1","not"
"33","ENSMUSG00000000301",2.56828783819321,-0.0423991482084473,1.12606585319011,-0.0376524588578293,0.969964781428595,NA,"Pemt","not"
"34","ENSMUSG00000000305",2.14005707152058,0.196860875314712,1.23083820316666,0.159940498116028,0.872927946259325,NA,"Cdh4","not"
"35","ENSMUSG00000000308",1.56896916199081,0.389477510967684,1.46390219953418,0.266054324593281,0.790197371213261,NA,"Ckmt1","up"
"36","ENSMUSG00000000317",40.8022412055985,-0.124864385253089,0.31899348931085,-0.391432394193514,0.695477651509268,0.999286210819731,"Bcl6b","not"
"37","ENSMUSG00000000320",5.56406119807803,-0.308613773422986,0.782028136505522,-0.394632570129792,0.693114072950727,NA,"Alox12","down"
"38","ENSMUSG00000000325",55.0821655658892,-0.138215413729859,0.30096039761628,-0.459247843984049,0.646056196841018,0.999286210819731,"Arvcf","not"
"39","ENSMUSG00000000326",86.4654318934855,-0.387801717744247,0.225780794598858,-1.71760276791146,0.0858690951247913,0.999286210819731,"Comt","down"
"40","ENSMUSG00000000339",26.8233181757812,-0.013511202712042,0.371688359233859,-0.0363508901378883,0.971002572266505,0.999286210819731,"Rtca","not"
"41","ENSMUSG00000000340",49.3782596084376,0.223758442146825,0.284971550994201,0.785195719945316,0.432338824532167,0.999286210819731,"Dbt","up"
"42","ENSMUSG00000000346",232.8729895719,0.103507095524706,0.159849565138107,0.647528164591988,0.517290172378431,0.999286210819731,"Dazap2","not"
"43","ENSMUSG00000000355",19.8344977199421,0.0485158153935982,0.425054046835364,0.114140344633373,0.909126540798128,0.999286210819731,"Mcts1","not"
"44","ENSMUSG00000000359",7.56163187696346,-0.1477503198419,0.670692451696567,-0.220295188156888,0.82564126741588,NA,"Rem1","not"
"45","ENSMUSG00000000365",1.28455811444297,-0.188777310615341,1.58170508397253,-0.11935051137423,0.904997667157766,NA,"Rnf17","not"
"46","ENSMUSG00000000374",36.8155049996263,-0.0630021685277103,0.319812586523122,-0.196997151402468,0.843829766956538,0.999286210819731,"Trappc10","not"
"47","ENSMUSG00000000378",21.8316498081016,-0.219160493222975,0.407756963023323,-0.53747823605023,0.590937314445846,0.999286210819731,"Ccm2","down"
"48","ENSMUSG00000000384",61.0675266076541,0.157793728168428,0.263521974199606,0.598787743024823,0.549314436889244,0.999286210819731,"Tbrg4","not"
"49","ENSMUSG00000000392",4.42278540596759,0.0613137467626287,0.869835925301803,0.0704888645997864,0.943804563266753,NA,"Fap","not"
"50","ENSMUSG00000000399",352.740726017826,-0.0477719230526208,0.145799927420953,-0.327653956333559,0.743173320634524,0.999286210819731,"Ndufa9","not"
"51","ENSMUSG00000000402",1.28389013461678,-0.0927019304894023,1.57453575561487,-0.0588757226749681,0.953051094998885,NA,"Egfl6","not"
"52","ENSMUSG00000000409",1.9989254523044,0.326386742393873,1.34780482785371,0.242161725235562,0.808654851321663,NA,"Lck","up"
"53","ENSMUSG00000000416",3.56784281820456,0.482504408916565,0.979623954509381,0.492540435230797,0.622337344365016,NA,"Cttnbp2","up"
"54","ENSMUSG00000000420",105.728415709327,-0.0724210812077815,0.211584158798654,-0.342280261523256,0.732139988504351,0.999286210819731,"Galnt1","not"
"55","ENSMUSG00000000439",35.534411408558,0.333845379107565,0.326801516387346,1.02155394747884,0.306992063602608,0.999286210819731,"Mkrn2","up"
"56","ENSMUSG00000000440",8.56517672075509,0.796615464866081,0.666839529527866,1.194613440853,0.232238095385101,NA,"Pparg","up"
"57","ENSMUSG00000000441",141.695530380082,0.0261258830185004,0.187447776041145,0.139376863093674,0.889152354471972,0.999286210819731,"Raf1","not"
"58","ENSMUSG00000000486",12.1307537935792,-0.0104432954338946,0.539093540124218,-0.0193719543207441,0.984544383419219,NA,"Sept1","not"
"59","ENSMUSG00000000489",37.9567989745123,-0.0020697261319568,0.325964733637827,-0.0063495400525642,0.994933834065696,0.999286210819731,"Pdgfb","not"
"60","ENSMUSG00000000530",30.2521090037209,0.312695446788649,0.355051761756552,0.880703831017898,0.37847814270902,0.999286210819731,"Acvrl1","up"
"61","ENSMUSG00000000531",8.41767781316049,0.263811208193923,0.64350416626786,0.409960373254383,0.681835016508047,NA,"Grasp","up"
"62","ENSMUSG00000000532",36.3886801798905,-0.117831166711708,0.328376202006798,-0.358829799454433,0.719722418506736,0.999286210819731,"Acvr1b","not"
"63","ENSMUSG00000000538",85.4761137961023,0.0645186761112465,0.225775433040435,0.285764820567043,0.775058254116402,0.999286210819731,"Tom1l2","not"
"64","ENSMUSG00000000552",19.973232581412,-0.0837139487098546,0.424619694960385,-0.197150414131556,0.84370983275873,0.999286210819731,"Zfp385a","not"
"65","ENSMUSG00000000555",162.666632807067,0.153094284310549,0.179461103077843,0.853077807307042,0.393616157487557,0.999286210819731,"Itga5","not"
"66","ENSMUSG00000000561",54.5063877611905,0.00890248648824912,0.2690951800205,0.0330830395682707,0.97360836781046,0.999286210819731,"Wdr77","not"
"67","ENSMUSG00000000563",966.604629511095,-0.0169342343590732,0.13001902180048,-0.130244283679196,0.896373159637518,0.999286210819731,"Atp5f1","not"
"68","ENSMUSG00000000567",10.9853440497694,-0.212194885403968,0.562632629550723,-0.377146426031869,0.706064791246427,NA,"Sox9","down"
"69","ENSMUSG00000000568",117.851104335003,-0.367108025611877,0.203486237195161,-1.80409265349867,0.0712167832230722,0.999286210819731,"Hnrnpd","down"
"70","ENSMUSG00000000579",9.84640540279735,1.13364704801197,0.639797643750693,1.77188374962775,0.0764138564669201,NA,"Dynlt1c","up"
"71","ENSMUSG00000000581",46.0887532450703,0.047712711389409,0.290465167222767,0.164263108880166,0.86952402201628,0.999286210819731,"C1d","not"
"72","ENSMUSG00000000594",38.0959503484611,-0.134920744235724,0.318440943851449,-0.423691572458924,0.671790762120387,0.999286210819731,"Gm2a","not"
"73","ENSMUSG00000000600",34.8208959376154,0.270387794325527,0.339631267043925,0.796121619422505,0.425961349306106,0.999286210819731,"Krit1","up"
"74","ENSMUSG00000000605",80.0520054972035,0.0478136201562437,0.229515958818749,0.208323727911236,0.834976205856316,0.999286210819731,"Clcn4-2","not"
"75","ENSMUSG00000000628",66.6374910337316,0.103487184133447,0.255866991741967,0.404456954095156,0.685876725867022,0.999286210819731,"Hk2","not"
"76","ENSMUSG00000000631",162.955473879347,-0.0464627888894869,0.199674672830861,-0.232692450328161,0.816000232082716,0.999286210819731,"Myo18a","not"
"77","ENSMUSG00000000682",2.28292511912887,0.00101375114336009,1.20376203107786,0.000842152449726599,0.999328059641946,NA,"Cd52","not"
"78","ENSMUSG00000000693",9.13181047073627,0.0604094641148006,0.615155314031559,0.098201970684271,0.921771917650184,NA,"Loxl3","not"
"79","ENSMUSG00000000708",105.884010143608,0.0837592322022233,0.209708862123876,0.399407213190381,0.689593179884456,0.999286210819731,"Kat2b","not"
"80","ENSMUSG00000000711",89.3292414216514,0.00799695729140421,0.222388517064404,0.035959398430128,0.971314733359501,0.999286210819731,"Rab5b","not"
"81","ENSMUSG00000000732",3.85251736423123,0.141828118860589,0.930330803290036,0.152449127083642,0.87883271204696,NA,"Icosl","not"
"82","ENSMUSG00000000738",79.1885103830992,-0.140689599341701,0.230355033334312,-0.610751140555805,0.541364344031396,0.999286210819731,"Spg7","not"
"83","ENSMUSG00000000740",391.662505892392,-0.0187084705648089,0.152465157842169,-0.122706530656505,0.902339492235932,0.999286210819731,"Rpl13","not"
"84","ENSMUSG00000000743",74.7660436934249,-0.0451845039011323,0.237190150215524,-0.190499073676015,0.8489180689953,0.999286210819731,"Chmp1a","not"
"85","ENSMUSG00000000751",64.9182276848657,-0.31715239035096,0.26063859845753,-1.21682817597962,0.223669597370075,0.999286210819731,"Rpa1","down"
"86","ENSMUSG00000000753",12.5552734914987,-0.691188130714347,0.553751542713619,-1.24819179252708,0.211960828908204,NA,"Serpinf1","down"
"87","ENSMUSG00000000759",29.2519879704761,0.0446521090845464,0.36261283568723,0.123139902093981,0.901996314406957,0.999286210819731,"Tubgcp3","not"
"88","ENSMUSG00000000776",13.9829785385762,0.204005596365408,0.501068082780806,0.40714147114146,0.683904085887405,NA,"Polr3d","up"
"89","ENSMUSG00000000782",6.28205907557759,0.864994856810489,0.812829311633994,1.06417773624776,0.28724819072035,NA,"Tcf7","up"
"90","ENSMUSG00000000787",256.570639804771,0.210631088529445,0.166123648301037,1.267917546259,0.204827397396432,0.999286210819731,"Ddx3x","up"
"91","ENSMUSG00000000794",3.1389930831104,-0.455149933019807,1.02017984595144,-0.446146760128678,0.65549123762625,NA,"Kcnn3","down"
